classification_name,classification_code,country,year,affordability_healthy_diet_ratio_cost_to_food_expenditures,affordability_healthy_diet_ratio_cost_to_food_poverty_line,affordability_nutrient_adequate_diet_ratio_cost_to_food_expenditures,affordability_nutrient_adequate_diet_ratio_cost_to_food_poverty_line,affordability_energy_sufficient_diet_ratio_cost_to_food_expenditures,affordability_energy_sufficient_diet_ratio_cost_food_poverty_line,cost_healthy_diet,cost_healthy_diet_relative_to_cost_of_sufficient_energy_from_starchy_staples,cost_nutrient_adequate_diet,cost_energy_sufficient_diet,cost_animal-source_foods,cost_animal-sourced_foods_relative_to_starchy_staples_in_least-cost_healthy_diet,cost_fruits,cost_fruits_relative_to_starchy_staples_in_least-cost_healthy_diet,cost_legumes_nuts_seeds,cost_legumes_nuts_seeds_relative_to_starchy_staples_in_least-cost_healthy_diet,cost_oils_fats,cost_oils_fats_relative_to_starchy_staples_in_least-cost_healthy_diet,cost_starchy_staples,cost_vegetables,cost_vegetables_relative_to_starchy_staples_in_least-cost_healthy_diet,cost_share_animal-sourced_foods_in_least-cost_healthy_diet,cost_share_fruits_in_least-cost_healthy_diet,cost_share_legumes_nuts_seeds_in_least-cost_healthy_diet,cost_share_oils_fats_in_least-cost_healthy_diet,cost_share_vegetables_in_least-cost_healthy_diet,cost_share_starchy_staples_in_least-cost_healthy_diet,percent_population_cannot_afford_sufficient_calories,percent_population_cannot_afford_nutrient_adequacy,percent_population_cannot_afford_healthy_diet,millions_people_cannot_afford_sufficient_calories,millions_people_cannot_afford_nutrient_adequacy,millions_people_cannot_afford_healthy_diet,population
Food Prices for Nutrition 1.1,FPN 1.1,Zambia,2017,1.821,2.754,1.405,2.125,0.755,1.142,3.085,2.41,2.38,1.279,0.906,1.11,0.372,0.46,0.232,0.29,0.13,0.16,0.814,0.631,0.78,0.294,0.121,0.075,0.042,0.205,0.264,65.1,82.5,88.4,11.3,14.3,15.3,17298054
Food Prices for Nutrition 1.1,FPN 1.1,Zimbabwe,2017,1.529,3.086,1.016,2.051,0.343,0.692,3.456,4.46,2.297,0.775,0.95,1.73,0.513,0.93,0.33,0.6,0.144,0.26,0.55,0.968,1.76,0.275,0.148,0.095,0.042,0.28,0.159,14.2,69.6,83.2,2.1,10.3,12.3,14751101
Food Prices for Nutrition 2.0,FPN 2.0,Albania,2017,0.425,3.529,0.266,2.206,0.078,0.647,3.952,5.45,2.471,0.725,1.204,2.01,0.911,1.52,0.441,0.74,0.089,0.15,0.599,0.707,1.18,0.305,0.231,0.112,0.023,0.179,0.152,0.0,8.9,31.3,0.0,0.3,0.9,2873457
Food Prices for Nutrition 2.0,FPN 2.0,Algeria,2017,0.605,3.36,0.374,2.074,0.124,0.69,3.763,4.87,2.323,0.773,0.964,1.94,0.979,1.97,0.493,0.99,0.132,0.27,0.496,0.699,1.41,0.256,0.26,0.131,0.035,0.186,0.132,0.1,6.2,32.5,0.1,2.6,13.4,41136546
Food Prices for Nutrition 2.0,FPN 2.0,Angola,2017,0.972,3.863,0.726,2.885,0.315,1.253,4.327,3.08,3.231,1.403,1.011,1.21,0.717,0.85,0.395,0.47,0.166,0.2,0.839,1.199,1.43,0.234,0.166,0.091,0.038,0.277,0.194,36.0,71.1,81.4,10.9,21.5,24.6,30208628
Food Prices for Nutrition 2.0,FPN 2.0,Argentina,2017,0.395,2.983,0.31,2.344,0.077,0.582,3.341,5.12,2.625,0.652,0.669,1.44,0.733,1.58,0.656,1.42,0.117,0.25,0.463,0.703,1.52,0.2,0.219,0.196,0.035,0.21,0.139,0.2,4.0,6.8,0.1,1.8,3.0,44044811
Food Prices for Nutrition 2.0,FPN 2.0,Armenia,2017,0.27,2.764,0.192,1.971,0.088,0.904,3.096,3.06,2.208,1.013,0.973,1.81,0.488,0.91,0.541,1.01,0.123,0.23,0.537,0.433,0.81,0.314,0.158,0.175,0.04,0.14,0.173,0.5,14.3,37.1,0.0,0.4,1.1,2851923
Food Prices for Nutrition 2.0,FPN 2.0,Australia,2017,0.333,2.017,0.235,1.424,0.045,0.274,2.259,7.36,1.595,0.307,0.458,2.07,0.667,3.02,0.249,1.13,0.067,0.3,0.221,0.597,2.7,0.203,0.295,0.11,0.03,0.264,0.098,0.2,0.5,0.7,0.1,0.1,0.2,24594202
Food Prices for Nutrition 2.0,FPN 2.0,Austria,2017,0.39,2.475,0.318,2.014,0.049,0.309,2.772,8.01,2.256,0.346,0.612,2.67,0.819,3.58,0.36,1.57,0.055,0.24,0.229,0.698,3.05,0.221,0.295,0.13,0.02,0.252,0.083,0.2,0.5,0.6,0.0,0.0,0.1,8797566
Food Prices for Nutrition 2.0,FPN 2.0,Azerbaijan,2017,0.288,2.096,0.225,1.639,0.097,0.704,2.348,2.98,1.836,0.789,0.729,1.63,0.26,0.58,0.463,1.03,0.132,0.29,0.448,0.317,0.71,0.31,0.111,0.197,0.056,0.135,0.191,0.0,0.0,0.0,0.0,0.0,0.0,9854033
Food Prices for Nutrition 2.0,FPN 2.0,Bangladesh,2017,0.648,2.573,0.438,1.738,0.145,0.575,2.882,4.48,1.947,0.644,1.143,3.18,0.559,1.56,0.227,0.63,0.118,0.33,0.359,0.477,1.33,0.397,0.194,0.079,0.041,0.166,0.125,0.6,48.6,75.3,1.0,78.6,121.8,161793964
Food Prices for Nutrition 2.0,FPN 2.0,Belarus,2017,0.378,2.837,0.257,1.929,0.095,0.714,3.177,3.97,2.161,0.8,0.826,1.63,0.678,1.34,0.643,1.27,0.174,0.34,0.506,0.349,0.69,0.26,0.213,0.202,0.055,0.11,0.159,0.0,0.2,2.1,0.0,0.0,0.2,9458989
Food Prices for Nutrition 2.0,FPN 2.0,Belgium,2017,0.347,2.555,0.291,2.148,0.032,0.235,2.862,10.88,2.406,0.263,0.745,3.36,0.79,3.56,0.369,1.66,0.06,0.27,0.222,0.677,3.05,0.26,0.276,0.129,0.021,0.237,0.078,0.1,0.3,0.3,0.0,0.0,0.0,11375158
Food Prices for Nutrition 2.0,FPN 2.0,Belize,2017,1.009,2.211,1.143,2.503,0.461,1.009,2.476,2.19,2.803,1.13,0.776,2.04,0.162,0.43,0.224,0.59,0.129,0.34,0.38,0.805,2.12,0.313,0.065,0.09,0.052,0.325,0.153,19.6,57.0,50.9,0.1,0.2,0.2,374693
Food Prices for Nutrition 2.0,FPN 2.0,Benin,2017,1.721,3.17,1.211,2.23,0.316,0.582,3.55,5.44,2.498,0.652,1.168,2.85,0.538,1.31,0.297,0.72,0.125,0.3,0.41,1.012,2.47,0.329,0.152,0.084,0.035,0.285,0.115,13.7,81.9,90.6,1.6,9.5,10.5,11596779
Food Prices for Nutrition 2.0,FPN 2.0,Bhutan,2017,0.753,3.913,0.481,2.502,0.18,0.935,4.383,4.19,2.802,1.047,1.191,2.21,1.122,2.08,0.427,0.79,0.164,0.3,0.54,0.94,1.74,0.272,0.256,0.097,0.037,0.214,0.123,0.7,26.2,51.2,0.0,0.2,0.4,756121
Food Prices for Nutrition 2.0,FPN 2.0,Bolivia,2017,0.624,3.171,0.586,2.98,0.258,1.311,3.551,2.42,3.338,1.468,1.046,1.34,0.411,0.53,0.53,0.68,0.14,0.18,0.781,0.644,0.82,0.295,0.116,0.149,0.039,0.181,0.22,6.8,19.1,20.9,0.8,2.2,2.4,11435533
Food Prices for Nutrition 2.0,FPN 2.0,Bosnia and Herzegovina,2017,0.487,3.435,0.386,2.724,0.087,0.617,3.847,5.57,3.051,0.691,0.921,1.71,0.916,1.7,0.512,0.95,0.132,0.24,0.54,0.825,1.53,0.239,0.238,0.133,0.034,0.214,0.14,0.0,2.4,4.7,0.0,0.1,0.2,3440027
Food Prices for Nutrition 2.0,FPN 2.0,Botswana,2017,0.274,3.234,0.17,2.009,0.038,0.451,3.622,7.17,2.25,0.505,1.097,2.81,0.795,2.04,0.402,1.03,0.142,0.36,0.39,0.796,2.04,0.303,0.219,0.111,0.039,0.22,0.108,1.3,44.3,63.2,0.0,1.1,1.5,2401840
Food Prices for Nutrition 2.0,FPN 2.0,Brazil,2017,0.634,2.508,0.599,2.372,0.191,0.757,2.809,3.31,2.657,0.848,0.635,1.45,0.46,1.05,0.742,1.69,0.067,0.15,0.439,0.465,1.06,0.226,0.164,0.264,0.024,0.166,0.156,3.5,18.1,19.6,7.3,37.8,41.0,208504960
Food Prices for Nutrition 2.0,FPN 2.0,Bulgaria,2017,0.576,3.375,0.422,2.471,0.077,0.45,3.78,7.5,2.768,0.504,0.963,1.91,0.959,1.9,0.478,0.95,0.101,0.2,0.504,0.774,1.54,0.255,0.254,0.126,0.027,0.205,0.133,0.3,6.3,10.6,0.0,0.4,0.8,7075947
Food Prices for Nutrition 2.0,FPN 2.0,Burkina Faso,2017,1.997,2.833,1.598,2.266,0.361,0.513,3.173,5.53,2.538,0.574,1.145,2.61,0.354,0.81,0.127,0.29,0.19,0.43,0.439,0.917,2.09,0.361,0.112,0.04,0.06,0.289,0.138,5.4,76.2,83.0,1.1,15.1,16.5,19835858
Food Prices for Nutrition 2.0,FPN 2.0,Burundi,2017,3.412,2.668,1.814,1.419,0.808,0.632,2.988,4.22,1.589,0.708,1.112,1.81,0.447,0.73,0.174,0.28,0.107,0.17,0.615,0.532,0.87,0.372,0.15,0.058,0.036,0.178,0.206,41.5,84.1,95.8,4.6,9.4,10.7,11155593
Food Prices for Nutrition 2.0,FPN 2.0,Cabo Verde,2017,0.753,2.998,0.565,2.252,0.139,0.554,3.358,5.42,2.522,0.62,0.779,2.28,0.823,2.41,0.281,0.82,0.098,0.29,0.342,1.036,3.03,0.232,0.245,0.084,0.029,0.309,0.102,0.3,29.7,44.5,0.0,0.2,0.3,564954
Food Prices for Nutrition 2.0,FPN 2.0,Cameroon,2017,1.128,2.336,0.89,1.844,0.385,0.798,2.616,2.93,2.065,0.894,0.837,1.74,0.447,0.93,0.144,0.3,0.116,0.24,0.48,0.592,1.23,0.32,0.171,0.055,0.044,0.226,0.183,15.7,48.6,59.2,3.8,11.9,14.4,24393181
Food Prices for Nutrition 2.0,FPN 2.0,Canada,2017,0.451,2.556,0.333,1.885,0.106,0.601,2.863,4.25,2.111,0.673,0.766,1.78,0.673,1.57,0.31,0.72,0.078,0.18,0.43,0.605,1.41,0.268,0.235,0.108,0.027,0.211,0.15,0.0,0.5,0.7,0.0,0.2,0.3,36545236
Food Prices for Nutrition 2.0,FPN 2.0,Central African Republic,2017,2.761,3.056,1.376,1.523,0.823,0.912,3.423,3.35,1.706,1.021,1.284,2.45,0.345,0.66,0.141,0.27,0.174,0.33,0.525,0.955,1.82,0.375,0.101,0.041,0.051,0.279,0.153,67.0,83.3,94.6,3.3,4.2,4.7,4996741
Food Prices for Nutrition 2.0,FPN 2.0,Chad,2017,1.458,2.528,0.907,1.572,0.365,0.633,2.831,3.99,1.761,0.709,0.882,1.77,0.39,0.78,0.187,0.38,0.172,0.35,0.497,0.703,1.41,0.312,0.138,0.066,0.061,0.248,0.176,11.3,60.6,82.7,1.7,9.1,12.5,15085884
Food Prices for Nutrition 2.0,FPN 2.0,Chile,2017,0.491,2.726,0.35,1.946,0.104,0.575,3.053,4.74,2.179,0.644,0.765,2.17,0.619,1.76,0.261,0.74,0.116,0.33,0.352,0.94,2.67,0.251,0.203,0.085,0.038,0.308,0.115,0.2,1.6,4.6,0.0,0.3,0.8,18368577
Food Prices for Nutrition 2.0,FPN 2.0,China,2017,0.935,2.296,0.767,1.885,0.308,0.757,2.571,3.03,2.111,0.848,0.672,1.57,0.617,1.44,0.281,0.66,0.093,0.22,0.429,0.478,1.11,0.261,0.24,0.109,0.036,0.186,0.167,0.2,9.7,16.6,2.9,135.5,232.2,1396215000
Food Prices for Nutrition 2.0,FPN 2.0,Colombia,2017,0.645,2.556,0.569,2.255,0.223,0.885,2.863,2.89,2.526,0.991,0.798,1.46,0.492,0.9,0.262,0.48,0.146,0.27,0.548,0.617,1.13,0.279,0.172,0.092,0.051,0.216,0.191,3.5,20.3,24.8,1.7,9.8,12.0,48351671
Food Prices for Nutrition 2.0,FPN 2.0,"Congo, Dem. Rep.",2017,1.878,2.608,1.318,1.829,0.36,0.5,2.921,5.22,2.049,0.56,1.207,3.15,0.315,0.82,0.136,0.36,0.076,0.2,0.383,0.804,2.1,0.413,0.108,0.047,0.026,0.275,0.131,27.9,86.9,94.2,23.5,73.2,79.4,84283273
Food Prices for Nutrition 2.0,FPN 2.0,"Congo, Rep.",2017,1.52,2.985,1.171,2.3,0.449,0.881,3.343,3.39,2.576,0.987,0.633,1.19,0.733,1.38,0.224,0.42,0.1,0.19,0.532,1.12,2.11,0.189,0.219,0.067,0.03,0.335,0.159,39.9,80.8,88.6,2.1,4.3,4.7,5312340
Food Prices for Nutrition 2.0,FPN 2.0,Costa Rica,2017,0.642,3.537,0.458,2.521,0.158,0.869,3.961,4.07,2.824,0.973,0.863,1.4,0.587,0.95,0.411,0.67,0.094,0.15,0.617,1.388,2.25,0.218,0.148,0.104,0.024,0.35,0.156,0.7,7.8,16.0,0.0,0.4,0.8,4993842
Food Prices for Nutrition 2.0,FPN 2.0,Côte d'Ivoire,2017,1.038,2.922,0.513,1.446,0.258,0.728,3.273,4.02,1.619,0.815,1.111,2.56,0.39,0.9,0.149,0.34,0.148,0.34,0.434,1.041,2.4,0.339,0.119,0.046,0.045,0.318,0.133,8.4,39.6,77.7,2.1,9.8,19.3,24848016
Food Prices for Nutrition 2.0,FPN 2.0,Croatia,2017,0.481,3.721,0.371,2.867,0.077,0.592,4.168,6.29,3.211,0.663,0.955,1.93,0.95,1.92,0.556,1.12,0.073,0.15,0.496,1.138,2.29,0.229,0.228,0.133,0.018,0.273,0.119,0.3,3.3,6.2,0.0,0.1,0.3,4124531
Food Prices for Nutrition 2.0,FPN 2.0,Cyprus,2017,0.468,2.541,0.34,1.846,0.095,0.515,2.846,4.93,2.068,0.577,0.697,1.68,0.724,1.74,0.279,0.67,0.08,0.19,0.416,0.65,1.56,0.245,0.254,0.098,0.028,0.228,0.146,0.0,0.1,0.1,0.0,0.0,0.0,1208523
Food Prices for Nutrition 2.0,FPN 2.0,Czech Republic,2017,0.384,2.588,0.313,2.108,0.058,0.394,2.899,6.57,2.361,0.441,0.7,2.36,0.693,2.33,0.377,1.27,0.076,0.26,0.297,0.757,2.55,0.241,0.239,0.13,0.026,0.261,0.102,0.0,0.1,0.2,0.0,0.0,0.0,10594438
Food Prices for Nutrition 2.0,FPN 2.0,Denmark,2017,0.348,2.121,0.253,1.543,0.044,0.268,2.376,7.92,1.728,0.3,0.498,2.12,0.546,2.32,0.263,1.12,0.053,0.23,0.235,0.78,3.32,0.21,0.23,0.111,0.022,0.328,0.099,0.1,0.2,0.2,0.0,0.0,0.0,5764980
Food Prices for Nutrition 2.0,FPN 2.0,Djibouti,2017,1.167,2.497,1.026,2.196,0.257,0.55,2.797,4.54,2.459,0.616,0.988,2.2,0.556,1.24,0.165,0.37,0.111,0.25,0.449,0.529,1.18,0.353,0.199,0.059,0.04,0.189,0.161,5.6,59.0,65.8,0.1,0.6,0.7,1040233
Food Prices for Nutrition 2.0,FPN 2.0,Dominican Republic,2017,0.455,3.144,0.371,2.568,0.152,1.054,3.521,2.98,2.876,1.181,0.898,1.32,0.534,0.78,0.362,0.53,0.181,0.27,0.681,0.865,1.27,0.255,0.152,0.103,0.051,0.246,0.193,1.3,15.8,24.9,0.1,1.7,2.6,10647244
Food Prices for Nutrition 2.0,FPN 2.0,East Asia & Pacific,2017,0.685,3.304,0.488,2.34,0.174,0.869,3.7,1.41221374045802,2.62,0.973,0.933,1.51,0.821,1.33,0.363,0.59,0.124,0.2,0.617,0.842,1.36,0.252,0.222,0.098,0.034,0.228,0.167,1.1,16.4,26.1,24.5,369.3,587.9,2288221317
Food Prices for Nutrition 2.0,FPN 2.0,Ecuador,2017,0.65,2.489,0.586,2.243,0.314,1.204,2.788,2.07,2.512,1.348,0.753,0.93,0.329,0.41,0.341,0.42,0.129,0.16,0.81,0.426,0.53,0.27,0.118,0.122,0.046,0.153,0.291,4.4,14.8,17.6,0.7,2.5,2.9,16696944
Food Prices for Nutrition 2.0,FPN 2.0,"Egypt, Arab Rep.",2017,0.286,3.087,0.189,2.045,0.082,0.882,3.457,3.5,2.29,0.988,1.209,2.08,0.531,0.92,0.384,0.66,0.264,0.46,0.58,0.489,0.84,0.35,0.154,0.111,0.076,0.141,0.168,1.0,33.5,67.4,1.0,34.1,68.6,101789386
Food Prices for Nutrition 2.0,FPN 2.0,Estonia,2017,0.372,2.79,0.304,2.28,0.05,0.373,3.125,7.48,2.554,0.418,0.752,2.26,0.742,2.23,0.671,2.02,0.085,0.26,0.333,0.542,1.63,0.241,0.237,0.215,0.027,0.173,0.107,0.2,0.8,1.0,0.0,0.0,0.0,1317384
Food Prices for Nutrition 2.0,FPN 2.0,Eswatini,2017,0.562,3.061,0.368,2.004,0.153,0.831,3.428,3.68,2.244,0.931,1.136,2.25,0.524,1.04,0.342,0.68,0.154,0.3,0.506,0.766,1.51,0.331,0.153,0.1,0.045,0.223,0.148,26.6,64.4,77.1,0.3,0.7,0.9,1151390
Food Prices for Nutrition 2.0,FPN 2.0,Ethiopia,2017,2.188,2.775,1.411,1.789,0.508,0.644,3.108,4.31,2.004,0.721,0.882,1.99,0.777,1.75,0.271,0.61,0.189,0.43,0.444,0.545,1.23,0.284,0.25,0.087,0.061,0.175,0.143,7.7,62.7,85.8,8.4,67.8,92.9,108197950
Food Prices for Nutrition 2.0,FPN 2.0,Europe & Central Asia,2017,0.406,2.637,0.309,1.993,0.078,0.487,2.954,1.32347670250896,2.232,0.545,0.749,2.01,0.684,1.84,0.371,1.0,0.09,0.24,0.372,0.687,1.85,0.254,0.232,0.126,0.03,0.233,0.126,0.2,2.0,3.8,2.0,16.9,31.7,826577667
Food Prices for Nutrition 2.0,FPN 2.0,Fiji,2017,0.468,3.225,0.331,2.284,0.11,0.758,3.612,4.25,2.558,0.849,1.001,1.94,0.914,1.77,0.198,0.38,0.187,0.36,0.516,0.795,1.54,0.277,0.253,0.055,0.052,0.22,0.143,0.2,21.3,44.9,0.0,0.2,0.4,919019
Food Prices for Nutrition 2.0,FPN 2.0,Finland,2017,0.358,2.272,0.347,2.201,0.039,0.25,2.545,9.09,2.465,0.28,0.543,2.78,0.597,3.06,0.407,2.09,0.077,0.39,0.195,0.727,3.73,0.213,0.235,0.16,0.03,0.286,0.077,0.1,0.1,0.1,0.0,0.0,0.0,5508214
Food Prices for Nutrition 2.0,FPN 2.0,France,2017,0.373,2.621,0.238,1.673,0.04,0.281,2.936,9.32,1.874,0.315,0.64,2.6,0.859,3.49,0.277,1.13,0.066,0.27,0.246,0.848,3.45,0.218,0.293,0.094,0.022,0.289,0.084,0.0,0.0,0.1,0.0,0.0,0.0,66918020
Food Prices for Nutrition 2.0,FPN 2.0,Gabon,2017,0.773,2.998,0.592,2.295,0.22,0.854,3.358,3.51,2.57,0.956,0.735,1.33,0.568,1.03,0.221,0.4,0.106,0.19,0.553,1.174,2.12,0.219,0.169,0.066,0.032,0.35,0.165,1.3,16.3,28.5,0.0,0.3,0.6,2140215
Food Prices for Nutrition 2.0,FPN 2.0,"Gambia, The",2017,1.167,2.627,1.003,2.258,0.39,0.878,2.942,2.99,2.529,0.983,0.589,1.2,0.659,1.34,0.141,0.29,0.165,0.34,0.49,0.897,1.83,0.2,0.224,0.048,0.056,0.305,0.167,10.6,63.9,72.6,0.3,1.5,1.7,2381182
Food Prices for Nutrition 2.0,FPN 2.0,Germany,2017,0.384,2.488,0.307,1.986,0.036,0.234,2.786,10.63,2.224,0.262,0.666,2.83,0.714,3.04,0.301,1.28,0.052,0.22,0.235,0.816,3.47,0.239,0.256,0.108,0.019,0.293,0.084,0.2,0.7,0.7,0.2,0.6,0.6,82657002
Food Prices for Nutrition 2.0,FPN 2.0,Ghana,2017,2.288,3.363,1.528,2.246,0.501,0.736,3.767,4.57,2.516,0.824,1.235,2.24,0.395,0.72,0.172,0.31,0.15,0.27,0.552,1.263,2.29,0.328,0.105,0.046,0.04,0.335,0.147,14.9,62.9,80.0,4.5,19.0,24.2,30222262
Food Prices for Nutrition 2.0,FPN 2.0,Greece,2017,0.345,2.712,0.291,2.283,0.076,0.6,3.037,4.52,2.557,0.672,0.797,1.94,0.581,1.42,0.41,1.0,0.096,0.23,0.41,0.742,1.81,0.262,0.191,0.135,0.032,0.244,0.135,0.5,2.5,3.8,0.1,0.3,0.4,10754679
Food Prices for Nutrition 2.0,FPN 2.0,Guinea,2017,0.995,3.263,0.603,1.978,0.246,0.807,3.655,4.04,2.215,0.904,0.559,1.13,0.453,0.92,0.188,0.38,0.179,0.36,0.495,1.781,3.6,0.153,0.124,0.051,0.049,0.487,0.135,8.6,61.6,88.5,1.1,7.5,10.8,12240789
Food Prices for Nutrition 2.0,FPN 2.0,Guinea-Bissau,2017,0.893,2.825,0.524,1.658,0.261,0.826,3.164,3.42,1.857,0.925,0.569,0.99,0.528,0.92,0.069,0.12,0.146,0.25,0.576,1.277,2.22,0.18,0.167,0.022,0.046,0.404,0.182,18.3,59.7,84.4,0.3,1.1,1.6,1879826
Food Prices for Nutrition 2.0,FPN 2.0,Guyana,2017,1.179,4.133,0.918,3.22,0.185,0.649,4.629,6.37,3.606,0.727,0.922,1.81,1.282,2.52,0.666,1.31,0.132,0.26,0.509,1.117,2.19,0.199,0.277,0.144,0.029,0.241,0.11,4.4,31.7,45.0,0.0,0.2,0.3,763252
Food Prices for Nutrition 2.0,FPN 2.0,Haiti,2017,1.476,3.509,1.1,2.615,0.411,0.978,3.93,3.59,2.929,1.095,1.583,2.45,0.377,0.58,0.35,0.54,0.128,0.2,0.646,0.845,1.31,0.403,0.096,0.089,0.033,0.215,0.164,23.5,73.8,84.7,2.6,8.0,9.2,10863543
Food Prices for Nutrition 2.0,FPN 2.0,High income,2017,0.455,2.814,0.351,2.152,0.106,0.636,3.152,1.30734135213604,2.411,0.712,0.753,1.65,0.688,1.51,0.352,0.77,0.102,0.22,0.455,0.803,1.76,0.239,0.218,0.112,0.032,0.255,0.144,0.6,1.2,1.9,7.3,14.0,21.4,1219259590
Food Prices for Nutrition 2.0,FPN 2.0,Honduras,2017,0.956,3.0,0.988,3.1,0.326,1.023,3.36,2.93,3.472,1.146,1.083,1.7,0.484,0.76,0.229,0.36,0.248,0.39,0.637,0.68,1.07,0.322,0.144,0.068,0.074,0.202,0.19,14.3,49.9,48.5,1.4,4.8,4.7,9626842
Food Prices for Nutrition 2.0,FPN 2.0,Hungary,2017,0.491,2.948,0.336,2.016,0.065,0.388,3.302,7.61,2.258,0.434,0.805,1.98,0.828,2.03,0.42,1.03,0.089,0.22,0.407,0.754,1.85,0.244,0.251,0.127,0.027,0.228,0.123,0.3,1.9,3.7,0.0,0.2,0.4,9787966
Food Prices for Nutrition 2.0,FPN 2.0,Iceland,2017,0.247,1.976,0.271,2.163,0.042,0.338,2.213,5.85,2.422,0.378,0.596,2.15,0.484,1.75,0.277,1.0,0.055,0.2,0.277,0.525,1.9,0.269,0.219,0.125,0.025,0.237,0.125,0.0,0.0,0.0,0.0,0.0,0.0,343400
Food Prices for Nutrition 2.0,FPN 2.0,India,2017,0.979,2.521,0.737,1.897,0.274,0.704,2.824,3.58,2.125,0.789,0.892,2.19,0.504,1.24,0.292,0.72,0.142,0.35,0.407,0.588,1.44,0.316,0.178,0.103,0.05,0.208,0.144,3.2,64.0,78.8,43.4,866.2,1066.8,1354195680
Food Prices for Nutrition 2.0,FPN 2.0,Indonesia,2017,0.844,3.687,0.545,2.379,0.209,0.912,4.129,4.04,2.664,1.021,0.929,1.35,0.792,1.15,0.429,0.62,0.13,0.19,0.69,1.16,1.68,0.225,0.192,0.104,0.031,0.281,0.167,4.3,7.0,72.8,11.4,130.8,192.5,264498852
Food Prices for Nutrition 2.0,FPN 2.0,"Iran, Islamic Rep.",2017,0.753,2.683,0.503,1.794,0.218,0.778,3.005,3.45,2.009,0.871,0.704,1.59,0.627,1.41,0.575,1.3,0.165,0.37,0.444,0.49,1.1,0.234,0.209,0.191,0.055,0.163,0.148,0.2,5.0,14.4,0.1,4.3,12.2,84505076
Food Prices for Nutrition 2.0,FPN 2.0,Iraq,2017,0.726,3.016,0.538,2.237,0.25,1.04,3.378,2.9,2.505,1.165,0.999,1.56,0.654,1.02,0.285,0.45,0.133,0.21,0.639,0.667,1.04,0.296,0.194,0.084,0.039,0.197,0.189,0.1,5.8,16.8,0.0,2.3,6.7,39621162
Food Prices for Nutrition 2.0,FPN 2.0,Ireland,2017,0.491,2.14,0.415,1.809,0.116,0.507,2.397,4.22,2.026,0.568,0.523,1.6,0.621,1.9,0.285,0.87,0.06,0.18,0.326,0.582,1.79,0.218,0.259,0.119,0.025,0.243,0.136,0.2,0.3,0.4,0.0,0.0,0.0,4807388
Food Prices for Nutrition 2.0,FPN 2.0,Israel,2017,0.299,2.175,0.233,1.695,0.062,0.449,2.436,4.84,1.898,0.503,0.842,2.44,0.562,1.63,0.216,0.63,0.074,0.21,0.345,0.397,1.15,0.346,0.231,0.089,0.03,0.163,0.142,0.2,1.2,1.9,0.0,0.1,0.2,8713300
Food Prices for Nutrition 2.0,FPN 2.0,Italy,2017,0.325,2.576,0.251,1.988,0.035,0.279,2.885,9.25,2.226,0.312,0.778,3.52,0.812,3.67,0.266,1.2,0.057,0.26,0.221,0.751,3.4,0.27,0.281,0.092,0.02,0.26,0.077,1.0,2.1,2.8,0.6,1.3,1.7,60536709
Food Prices for Nutrition 2.0,FPN 2.0,Jamaica,2017,0.917,5.335,0.623,3.622,0.156,0.906,5.975,5.89,4.057,1.015,1.144,1.67,1.997,2.92,0.454,0.66,0.242,0.35,0.684,1.454,2.13,0.191,0.334,0.076,0.041,0.243,0.114,0.9,36.6,57.9,0.0,1.0,1.6,2808376
Food Prices for Nutrition 2.0,FPN 2.0,Japan,2017,0.64,4.937,0.412,3.176,0.343,2.641,5.529,1.87,3.557,2.958,0.887,0.6,1.003,0.68,0.51,0.35,0.085,0.06,1.477,1.567,1.06,0.16,0.181,0.092,0.015,0.283,0.267,1.2,1.4,2.7,1.5,1.8,3.4,126972000
Food Prices for Nutrition 2.0,FPN 2.0,Jordan,2017,0.732,3.046,0.345,1.438,0.138,0.574,3.412,5.31,1.61,0.643,1.288,3.2,0.604,1.5,0.324,0.81,0.127,0.32,0.402,0.667,1.66,0.377,0.177,0.095,0.037,0.195,0.118,0.0,0.1,6.1,0.0,0.0,0.6,10215381
Food Prices for Nutrition 2.0,FPN 2.0,Kazakhstan,2017,0.283,2.135,0.207,1.565,0.077,0.583,2.391,3.66,1.753,0.653,0.672,1.56,0.356,0.83,0.466,1.08,0.124,0.29,0.43,0.344,0.8,0.281,0.149,0.195,0.052,0.144,0.18,0.0,0.5,2.5,0.0,0.1,0.5,18037776
Food Prices for Nutrition 2.0,FPN 2.0,Kenya,2017,0.79,2.541,0.514,1.653,0.213,0.685,2.846,3.71,1.851,0.767,0.935,2.16,0.569,1.32,0.216,0.5,0.179,0.41,0.432,0.515,1.19,0.329,0.2,0.076,0.063,0.181,0.152,11.6,57.0,77.4,5.7,27.9,37.9,48948137
Food Prices for Nutrition 2.0,FPN 2.0,"Korea, Rep.",2017,0.908,4.207,0.817,3.788,0.129,0.597,4.712,7.04,4.242,0.669,1.188,2.45,1.331,2.74,0.365,0.75,0.078,0.16,0.485,1.265,2.61,0.252,0.282,0.077,0.017,0.268,0.103,0.0,1.5,2.2,0.0,0.8,1.2,51361911
Food Prices for Nutrition 2.0,FPN 2.0,Kyrgyz Republic,2017,0.676,2.652,0.56,2.196,0.22,0.862,2.97,3.08,2.459,0.965,0.796,1.5,0.466,0.88,0.562,1.06,0.172,0.33,0.529,0.445,0.84,0.268,0.157,0.189,0.058,0.15,0.178,0.7,38.9,56.3,0.0,2.4,3.5,6198200
